,country,description,designation,points,price,province,region_1,region_2,variety,winery
568,France,"Dry, spicy and rich, this is a pepper- and nutmeg-flavored wine. The ripe pear and melon flavors are concentrated and dense; the structure taut and minerally in character. It's a wine to age for 1–2 years.",Rosenberg,88,,Alsace,Alsace,,Pinot Gris,Domaine Barmès-Buecher
569,Romania,"There are pleasant scents of vanilla, spice and poached pears on this Romanian Chardonnay, but the palate suffers from bracingly high acidity and faint apple flavors lacking depth and concentration. The finish is short and ends on notes of sawdust.",Reserve,83,10.0,Sebes,,,Chardonnay,Prahova Valley
570,US,"Dry Creek Vineyard turns to the cooler Russian River Valley to source this deliciously crisp Chardonnay. It has spicy flavors of baked green apples, pineapple jam, butterscotch, vanilla and wonderfully exotic figs. Low alcohol gives it perfect balance.",DCV 10,92,30.0,California,Russian River Valley,Sonoma,Chardonnay,Dry Creek Vineyard
571,Italy,"This Prosecco opens with a luminous golden color and mature aromas of melon, apricot and almond paste. There's a touch of sweetness and the mouthfeel is characterized by the foamy, creamy nature of the soft effervescence.","Strada di Guia, 109 Extra Dry",87,,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Glera,Foss Marai
572,Argentina,"Appealing from the start, with minerality, crustiness and tight dark berry aromas. The palate is saturated and layered, with flavors of blackberry, coffee and chocolate. Offers grip and structure due to fine tannins, and it's ready to drink now.",Gran Reserva,92,35.0,Mendoza Province,Mendoza,,Malbec-Cabernet Sauvignon,DiamAndes
573,New Zealand,"Grapefruit and melon are the predominant aromas and flavors, with a few sprigs of minty green herbs tossed over the top. Finishes with a bitter pith note that seems a little out of place in this otherwise harmonious offering.",Longlands,85,12.0,Hawke's Bay,,,Sauvignon Blanc,Te Awa Farm
574,Germany,"At just three years old, this bottle shows some developed petroleum notes that add interest to the often lackluster Silvaner grape. The mouth has an interesting pineapple element, carrying over to the medium finish. This is a relaxed, food-oriented style that would go well with a Mediterranean fish preparation. Drink now.",Dry,85,17.0,Franken,,,Silvaner,Wirsching
575,South Africa,"Made from 70% Chardonnay and 30% Pinot Noir, this is clean yet nuanced, with subtle suggestions of strawberry hull and freshly picked herbs to the white peach and Key lime core. Medium weight, with a mouthwatering finish; drink now.",Chardonnay-Pinot Noir,86,15.0,Franschhoek,,,White Blend,Haute Cabrière
576,US,"Honey, pineapple and pear on the nose are continued on the palate. The flavors are quite pretty but the overall structure of the wine tends toward watery; could use more acid and strength. Still, enjoy it chilled on a patio or in a hammock and you'll find it an enjoyable, affordable warm-weather choice.",,82,9.0,New Mexico,New Mexico,,Riesling,Blue Teal
577,France,"A beautifully balanced wine, its acidity and green fruits, slipping easily into a more intense pear and apricot character. The tang comes back with the citrus on the finish.",,92,,Bordeaux,Pessac-Léognan,,Bordeaux-style White Blend,Château Carbonnieux
578,France,"Chitry lies just outside the Chablis appellation area, giving a wine that has some of the classic steely character but is more rounded and less focused. Pleasing Chardonnay, finishes with an attractive vanilla touch.",Bourgogne Chitry,85,13.0,Burgundy,Bourgogne,,Chardonnay,Simonnet-Febvre
579,Italy,"This dark, inky expression of Sagrantino offers jammy aromas of strawberry jam and blackberry preserves, followed by notes of prune, dark chocolate and spice. Expressive and structured, it would pair with roasted pork or grilled prime rib.",,88,60.0,Central Italy,Montefalco Sagrantino,,Sagrantino,Còlpetrone
580,Greece,"This Sauvignon Blanc from Greece is in step with the general Greek white wine style: refreshing, clean and approachable. A nose with some tropical fruit, lemon zest and a touch of fresh grass unfolds into flavors of fresh citrus and spice. Simply good and a definite Asian food and seafood cohort.",Amethystos,85,17.0,Drama,,,Sauvignon Blanc,Domaine Costa Lazaridi
581,New Zealand,"A pleasant surprise among value-priced bottlings, this wine features a hint of gun flint that adds dimension to the fig, melon and pink grapefruit flavors. It's rather round in the mouth and perhaps a little sweet, but finishes long and savory.",Reserve,89,13.0,Marlborough,,,Sauvignon Blanc,Zeal
582,Australia,"Ripe and buttery with tropical fruit and oak on the nose, this Chardonnay has decent mouthfeel and an attractive sweet-tart profile. The apple-pear flavors wear lots of citrus and spicy oak on the back end. It's not complex, but it's as pleasant as a g'day.",,86,10.0,New South Wales,Hunter Valley,,Chardonnay,Hope Estate
583,US,"A blend of 60% Sémillon and 40% Sauvignon Blanc, this is barrel-fermented, with the Sémillon component being put through malolactic fermentation. The result is a medium-bodied white with a smoky, buttery bouquet and flavors of peach, passion fruit and grapefruit. Drink now.",White Meritage,85,25.0,California,Livermore Valley,Central Coast,Semillon-Sauvignon Blanc,Murrieta's Well
584,US,"California is producing the best rosés in its history, and this one, which has a dash of Cabernet Franc, is an example. It's a flavorful wine, dry and crisp in acidity, with a rich array of cherry, spice and vanilla flavors as well as a splash of crème de cassis. The winemaker recommends cioppino. I wouldn't turn it down.",Big Fat Pink Shiraz,88,15.0,California,Santa Barbara County,Central Coast,Shiraz,Babcock
585,Italy,"Fresh, easy and bright, this no-fuss red would be great with pepperoni pizza or grilled sausage. There's a sharp note of acidity to cut through the fat in those foods, followed by bright berry and cola flavors.",Campo Santa Lena,84,11.0,Veneto,Valpolicella Classico,,"Corvina, Rondinella, Molinara",Villa Monteleone
586,Argentina,"Cadus starts with big aromas of berry, cola and cool earth, but it drops off on the palate. By the time it finishes, the wine has lost steam and seems a little flat. Along the way, it's plump and easy, with mossy, earthy flavors of herbs and black fruits. Could be fresher.",Cadus Single Vineyard,88,52.0,Mendoza Province,Mendoza,,Malbec,Nieto Senetiner
587,US,"Quite dry on the palate, this seductive Riesling exhibits aromas of honeyed ginger with a hint of smoke and petrol. Lime and apple flavors combine with a zippy acidity and subtle minerality throughout.",Dry,87,15.0,New York,Finger Lakes,Finger Lakes,Riesling,Dr. Konstantin Frank
588,US,"Ungainly, with stiff, puckery tannins giving a hard astringency, and unintegrated oak sticking out. Somewhere inbetween are modest cherry, anise and herb flavors. Pretty good, but not likely to go anywhere, so drink now.",Estate Grown,86,35.0,California,Oakville,Napa,Merlot,Turnbull
589,Italy,"Boasts ample roundness and softness with some exotic fruit notes on the nose. There's a general broadness and expansiveness to this wine that sets it apart from other, younger Proseccos. Imported by Tricana Imports.",Millesimato Dry,88,20.0,Veneto,Prosecco di Conegliano e Valdobbiadene,,Prosecco,Montesel Renzo
590,South Africa,"Green apple and white watermelon rind lead the way on this Sauv Blanc, as flavors of green fig and bright citrus liven up the medium-weight mouth. Balanced and very drinkable; enjoy now.",,88,13.0,Western Cape,,,Sauvignon Blanc,Porcupine Ridge
591,US,"After making wine in Berkeley for just over a decade, the producer is working for the first time with Napa Valley fruit, grapes in fact farmed by grape-grower extraordinaire Steve Matthiasson. Pear, quince and grapefruit combine for a svelte sensibility, subtle in oak and sharp in acidity, with a tangy, herbal finish.",Linda Vista Vineyard,93,32.0,California,Napa Valley,Napa,Chardonnay,Donkey & Goat
592,US,"Made with Portuguese varieties, this dessert wine is sweet and simple. It has cherry compote, chocolate and sweetened coffee flavors, with a thick texture balanced with good, crisp acidity.",Vintage,84,28.0,California,Paso Robles,Central Coast,Port,Robert Hall
593,Italy,"Here's a lovely Rosso and a rare value wine from one of Tuscany's most prestigious wine-growing areas. Ciampoleto offers bright berry nuances, light shadings of exotic spice and a fresh, zesty finish.",Ciampoleto,87,12.0,Tuscany,Rosso di Montalcino,,Sangiovese Grosso,Tenuta San Giorgio
594,Chile,"The aromas are not that inviting: roasted tomato, bramble, burnt earth, etc. The mouth is textured and solid, with savory, herbal berry flavors. Grabby and full on the finish, with a reduced, weighty overall persona. Strained but still pretty good for the money.",,84,7.0,Colchagua Valley,,,Cabernet Sauvignon,La Playa
595,Portugal,"This is a finely balanced, rich but elegant wine, from a company owned by Sogrape, Portugal's largest wine producer. There is some good burnt caramel flavor, as well as ripe fruit, and a delicious, just lightly fresh aftertaste.",30 Year Old Tawny,90,108.0,Port,,,Port,Offley
596,US,"Crisp acidity brightens this wine's seemingly sweet lemongrass, tropical fruit and vanilla flavors. Try pairing this with Chinese food or ham.",,87,16.0,California,Russian River Valley,Sonoma,Sauvignon Blanc,White Oak
597,US,"Six Sigma's Tempranillo continues to be one of the most interesting bottlings of this Spanish variety in California. This '06, like its predecessors, is dry and medium-bodied, and shows a pleasant combination of cherry fruit brightened with fine acidity and wrapped into ripe, smooth tannins. It hints at complex notes of hummus, olives, smoked meat and anise. Try now as an offbeat alternative to a big Russian River Valley Pinot Noir.",,90,42.0,California,Lake County,Mendocino/Lake Counties,Tempranillo,Six Sigma Ranch
598,Spain,"Kicks off with a bouquet akin to chocolate-covered cherries before moving on to cured meat and bacon. Strawberry and cherry flavors are touched up by buttery oak, while the finish is so broad that it seems like pulled dough. Shows much of what's good about this appellation.",Reserva,87,24.0,Northern Spain,Ribera del Duero,,Tempranillo,Valdubón
599,Spain,"The nose is leathery and mulchy, with earthy berry aromas. It feels raw and choppy, with stalky, leathery, burnt flavors, plus pinches of green and mint. Ultimately it doesn't have much berry power or clarity.",,84,20.0,Northern Spain,Ribera del Duero,,Tempranillo,Peña Roble
600,US,"Few wineries in California any longer produce this Chardonnay-like French variety, but Dutton-Goldfield continues to do a good job. It has a creamy texture, with flavors of peaches, green apples, pears, vanilla and cinnamon spice. With no oak, it's a clean, crisply acidic wine.",Dutton Ranch Shop Block,87,25.0,California,Russian River Valley,Sonoma,Pinot Blanc,Dutton-Goldfield
601,Australia,"You might not know it from this wine's rather austere exterior, but this is actually from a warm site within the cool Yarra Valley. It's a restrained, slightly herbal blend of 62% Cabernet, 27% Merlot and 11% Petit Verdot that finishes with a tough mouthful of tannin. Hold it for another 3–4 years and hope that the fruit holds up.",Harry's Monster,89,30.0,Victoria,Yarra Valley,,Bordeaux-style Red Blend,Giant Steps
602,Italy,"Started in the Soave region, this producer bought vineyards in Valpolicella to include hearty reds in its portfolio. In some distant way, those white winemaking techniques seem to be behind this Amarone. Its aromas are floral and soapy—wild rose and lavender—and very fragrant with undertones of scented candle or incense. The tannins are firm and the finish is long.",,88,55.0,Veneto,Amarone della Valpolicella,,"Corvina, Rondinella, Molinara",Ca' Rugate
603,Austria,"From cool vineyards, this is an impressive, steely, crisp wine, mineral in texture, with tight fruit, fresh but always in tension.",Kellerberg,90,,Weinviertel,,,Grüner Veltliner,Norbert Bauer
604,France,"This wine needs some time to open up in the glass, but once it finally does you'll be greeted with an attractive bouquet loaded with savory herbs, leather, dark chocolate, espresso grinds and black cherry and berry fruit aromas. Dusty tannins and medium acidity frame the solid structure and linger through the long finish. Drink now-2014.",,88,20.0,Languedoc-Roussillon,Faugères,,Rhône-style Red Blend,Château St. Roch de Laurens
605,US,"Feral strawberry grabs all the attention in this wildly fierce, high-acid wine that packs a punch in texture, tannin power and body. Small amounts of Syrah, Mourvèdre and Petite Sirah figure into the blend, which is made in minuscule amounts.",,90,42.0,California,Russian River Valley,Sonoma,Grenache,Crux
606,Italy,"The Le Vigne cru from Luciano Sandrone delivers focused aromas of wild cherries, white almond, cola and light shadings of sweet spice. The texture is drying and firm and the wine excels in the mouth thanks to the tight and supple feel of its tannins. Pair this delicious wine with lamb, pork or beef.",Le Vigne,94,155.0,Piedmont,Barolo,,Nebbiolo,Luciano Sandrone
607,New Zealand,"Gentle toast nuances grace boatloads of peaches, pears and limes. The full fruit stands up to the oak well, while picking up dried-spice shadings on the finish.",Matheson Vineyard,88,20.0,Hawke's Bay,,,Chardonnay,Matua Valley
608,Spain,"Best early and then it shows its lesser pedigree later on. Early aromas of ripe berry fruit aren't bad before they shift to measurably jumpy and edgy. There's black cherry candy flavors and then snap, crackle and pop on the tongue. Good for the price.",Opera Prima,83,6.0,Central Spain,La Mancha,,Tempranillo,J. Garcia Carrion
609,US,"Dark and tannic, reflecting the vineyard's location in the cooler, foggier northwest, this Pinot Noir is dramatic in depth of flavor. With its core of blackberries, cherries, blueberries, cola and rhubarb, it's tight and rigid now, suggesting 5–6 years in the cellar.",Gowan Creek Vineyard,93,75.0,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Goldeneye
610,US,"The unfolding layers of aroma on the nose of this bottling—sesame, white pepper, rose and wild berry, to name a few—keep one coming back for more. The palate is textured and finishes on an uplifting note, showing raspberry, dried flowers, fresh herbs and a hint of menthol toward the end.",Rosemary's Vineyard,93,75.0,California,Arroyo Grande Valley,Central Coast,Pinot Noir,Talley
611,Germany,"Make no mistake—this is full-bodied, but it carries its 14.5% alcohol without any sign of warmth, just mouthcoating layers of flavor. Petrol and oily notes mark the nose and palate, but there's enough apple-y fruit and dried-spice notes to achieve complexity and balance. Dry essence of Riesling.",Iphöfer Kronsberg Spätlese Trocken,92,33.0,Franken,,,Riesling,Hans Wirsching
612,Chile,"Very rustic and aggressive, with savage aromas of leather and animal. Tastes more sour and herbal than fun and friendly. Barely acceptable and not a good example of affordable Chilean Carmenère.",Estate Selection,80,13.0,Curicó Valley,,,Carmenère,Aresti
613,US,"This is 100% Cabernet; a toasty, smoky wine with lots of barrel flavors, woven around pretty cherry fruit. Not especially complex, but loaded with friendly flavors of cherry and oak, with a high toast factor bringing in espresso and smoke.",,88,35.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Glencorrie
614,US,"Peaches and apricots fill the mouth. The wine has a supple, rich midpalate, and a nice smack of butterscotch to finish.",Indian Wells,89,17.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Chateau Ste. Michelle
615,Italy,"Well etched, defined and crisp, this is a strong, determined wine with loads of power, acidity and firmness. The wine shows all the criteria for a long cellar life, softening slowly as the wine evolves. Age 10–20 more years.",Riserva,93,49.0,Tuscany,Brunello di Montalcino,,Sangiovese Grosso,Canneta
616,US,"Very dry, crisp and elegantly structured, this Pinot Noir can be had at a pretty good price. It has modest flavors of cherries, tobacco and spices, but is a little unripe, with hints of green tomato and white pepper.",,85,15.0,California,Monterey County,Central Coast,Pinot Noir,Irony
617,US,"This is the most balanced of the winery's many 2011 Zins. It's also half the price of the vineyard designates. With raspberry, cherry and cola flavors set in a flurry of spices, it doesn't have the massive overripeness of the others. But that's exactly why it's a more appealing and food-friendly wine.",Westside,90,19.0,California,Paso Robles,Central Coast,Zinfandel,Peachy Canyon
618,US,"A lush, full-bodied Cabernet that, even if a little one-dimensional, shows lots of varietal character. It's soft and a little sweet in vanilla-tinged oak, with jammy flavors of blackberries, cherries and chocolate.",,85,25.0,California,Mendocino County,Mendocino/Lake Counties,Cabernet Sauvignon,Paul Dolan
619,US,"There's a wonderful crispness and minerality to the flavorful Sauvignon Blanc fruit, with its rich waves of pineapples, lemons, limes, peaches and vanilla. Very good, although it finishes almost off-dry. Drink now.",Blueprint,87,38.0,California,Napa Valley,Napa,Sauvignon Blanc,Lail
620,US,"A white Bordeaux-style blend, crisp and edgy, with green fruit flavors sporting a citrusy kick. Young, tight and tart, it shows its alcohol on the angular finish.",Updraft,86,17.0,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style White Blend,Cloudlift Cellars
621,Portugal,"A fine, sweet, fresh Port, well integrated with the spirit. It has just a touch of acidity to give a good balance.",Pink Rosé,85,16.0,Port,,,Port,Poças
622,Italy,"Here's an easy, straight -shooting Prosecco that would pair nicely with stuffed eggrolls or crispy fried shrimp. The wine's sharp acidity will counter the oil in those foods.",Millesimato Il Vino dei Poeti Brut,85,,Veneto,Prosecco,,Glera,Bottega
623,US,"Here's a powerfully fruity Napa red wine to drink tonight with roasts, cheeses, or just a nice burger. It's full-bodied, dry and rich in tannins, with black currant, anise, dark chocolate and smoky oak flavors. A blend of Bordeaux varieties and Syrah.",Crane Ranch Vineyard Brodacious,87,36.0,California,Napa Valley,Napa,Red Blend,Crane Brothers
624,Portugal,"A light, modern, just off-dry and fruity wine, freshened by bright lime and apricots, with a tang of orange zest. This is crisp, very clean, a good apéritif drink.",Espirito Branco,86,10.0,Tejo,,,Portuguese White,Quinta da Lagoalva de Cima
625,US,"A fruity, rustic red wine, with berry, cherry, herb and spice flavors wrapped into sturdy tannins. Drink this bistro-style blend with everyday fare.",,84,14.0,California,California,California Other,Red Blend,The Big Red Monster
626,US,"This easy-drinking Cabernet has flavors of blackberry jam and toast, wrapped into firm tannins. It won't improve with age, so drink up with a juicy burger.",,84,20.0,California,California,California Other,Cabernet Sauvignon,Acronym
627,US,"Young and vigorous now, marked by tannins and dryness that mask the fruit, making the wine somewhat aloof. However, the fruit is huge. It's ripe and succulent in blackberries and black cherries, and you'll find additional notes of smoked meat and black pepper for complexity. A wonderful Syrah that needs 3–5 years to blossom.",Mesa Reserve,92,42.0,California,Santa Ynez Valley,Central Coast,Syrah,Zaca Mesa
628,Italy,"Aromas of fragrant blue flower, menthol, spirits and plum cake lead the nose on this brawny wine. The hefty palate offers raisin, fig, vanilla, coconut and oak-driven spice alongside smooth, densely packed tannins and the warmth of alcohol. Showing the heat of the vintage, the fruit is starting to dry up so drink sooner rather than later.",Riserva,88,38.0,Tuscany,Chianti Classico,,Red Blend,Le Fonti
629,US,"Lots of polished, ripe blackberry, cherry, mocha and spicy flavors in this dry, rather tannic wine. It shows good structure and balance. Best now.",Caton Vineyard,86,25.0,California,Sonoma Valley,Sonoma,Syrah,Ty Caton
630,US,"Bruised apricot, lemonade and citrus rind-laden marzipan notes hit the nose on this wine, which is showing just a touch of nutty, honeyed oxidization. The macadamia nut element arises on the palate too, alongside intriguingly peaty flavors reminiscent of Scotch, with almond liqueur on the outro. It presents decent acidity throughout.",Reserve,88,35.0,California,Santa Cruz Mountains,Central Coast,Chardonnay,Wrights Station
631,Italy,"This opens with aromas of ripe berry, pipe tobacco, leather and espresso. The palate offers mature black cherry, coffee, vanilla and mocha alongside firm, drying tannins. It finishes on a licorice note.",,89,59.0,Piedmont,Barolo,,Nebbiolo,Tenuta Rocca
632,Israel,"A clean nose of citrus paves the way for flavors of grapefruit and Sevilla orange. This wine is soft and pleasing on the palate, but it may be touch tart for some tastes.",Admon Vineyard,85,30.0,Galilee,,,Chardonnay,Carmel
633,US,"Based on Cabernet with the other four Bordeaux varieties blended in, this wine is in your face with sweetly ripe cassis, cherry, red licorice, cocoa, cola and vanilla flavors. It would benefit from greater subtlety and restraint.",Anthology Red Wine,85,54.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Conn Creek
634,US,"Simple and sweet, like a fruit juice blend of apples, peaches and pineapples you buy in the supermarket.",,82,15.0,California,Sonoma County,Sonoma,Chardonnay,St. Francis
635,Mexico,"Briary on the nose, this has disjointed aromas of plum, cinnamon and wet cement. It's jumpy, acidic and not very well balanced, with tart red-plum and cherry flavors. It feels edgy and gritty, with an almost sour finish.",,80,24.0,Valle de Guadalupe,,,Cabernet Sauvignon,Emevé
636,US,"Happily, each new vintage of Bésoleil is a bit larger than the previous year, so more people can taste what a joy this wine is. In 2008 it's 82% Grenache, 9% Syrah and 9% Mourvèdre. As with all the Betz wines, it is intensely aromatic. The wine glass fairly explodes with scents of grape, plum, raspberry and cherry. In the mouth grace notes offer hints of leaf and fresh herb. Plush and irresistible.",Bésoleil,93,45.0,Washington,Columbia Valley (WA),Columbia Valley,Grenache,Betz Family
637,Spain,"Aromas of cedar cigar box, subtle flower, spice and dry berry form a good bouquet. Searing acidity creates some sharpness, while the primary flavors of berry and plum are offset by red tomato and dry spice. Roasted, dry, spicy and slightly bitter on the finish.",Reserva,89,24.0,Northern Spain,Ribera del Duero,,Tempranillo,Valdubón
638,France,"Big and dark, its fruit dominated by bone-dry tannins, this is anything but petit (little). The density of the texture is balanced on a structure of the dark fruits, black plums and chocolate, with a fresh line of acidity holding it all in place.",Clos Triguedina Petit Clos,90,17.0,Southwest France,Cahors,,Malbec,Jean-Luc Baldès
639,US,"Tropical fruit aromas mingle with toasted oak on the nose of this elegant wine from Finger Lakes pioneer Dr. Frank. On the palate, the wine offers appealing and balanced flavors of creamy vanilla, spice and vibrant, lively fruit, making it an excellent choice for everything from salmon to spicier Asian cuisine.",Barrel Fermented,88,15.0,New York,Finger Lakes,Finger Lakes,Chardonnay,Dr. Konstantin Frank
640,Spain,"Rusty in color, with initial aromas of smoke, dried leaves, herbs, tobacco and subtle berry. That all indicates that it's not overdone, and thus the tobacco, earth and dried fruit flavors are par for the course. Dry and leafy on the finish, which indicates that now is the time to get at it.",Real de Aragón Centenaria,86,18.0,Northern Spain,Calatayud,,Garnacha,Pagos Familia Langa
641,Chile,"For a first vintage out of northerly Limarí Valley, this Concha y Toro effort from winemaker Marcelo Papa exceeds any reasonable expectations. It's an exotic, unique version of perfectly ripe, healthy Syrah from a perfect Chilean vintage. It steamrolls with maxed-out wild berry fruit, a saturated feel and backbone. Enjoy now and over the next few years.",Reserva Especial,92,20.0,Limarí Valley,,,Syrah,Maycas del Limari
642,Italy,"Nero di Troia, a traditional grape from Puglia, has been deftly vinified to exalt its cherry, chocolate fudge and raspberry nuances. Delicate tea leaf, balsam and tobacco notes also appear thanks to 9 months of barrique aging. Pair with pasta, roasted red peppers, white meat and lamb.",Le Cruste,90,32.0,Southern Italy,Puglia,,Nero di Troia,Alberto Longo
643,Portugal,"Soft, superripe wine, with layers of sweet black figs and chocolate. This is almost like a Porty Zinfandel in its richness. There are tannins there, but they seem lost in this riot of sweet fruit.",Vintage,88,80.0,Port,,,Port,Rozes
644,Portugal,"The wine has sweetness as well as a sugar-water character. It is fruity, but has a concocted, artificial aftertaste.",Late Harvest,82,28.0,Tejo,,,Gewürztraminer-Riesling,Quinta da Lagoalva de Cima
645,France,"This dark and concentrated red, composed of 70% Syrah, 15% Grenache, 10% Mourvèdre and 5% Carignan, offers superb strength of flavors in a firmly defined and well-balanced structure. Black fruit is abundant throughout, with complex accents of licorice, wild game, sweet spice and bittersweet cocoa powder. Concentrated fruit, tight tannins and medium acidity provide the promise of ageability; try from 2013–2018.",Cistus,92,30.0,Languedoc-Roussillon,Faugères,,Rhône-style Red Blend,Château de la Liquiere
646,US,"Plenty of Zinny character in this lusty, spicy young wine. It shows how well Zin ripens in a good Napa vineyard. With firm, supporting tannins, it's bone dry and rich in wild berry, pepper, bacon and cinnamon spice flavors, with just a hint of raisining in the finish.",Morisoli Vineyard,91,37.0,California,Napa Valley,Napa,Zinfandel,Elyse
647,France,"Full and fruity, this wine shows a dominance of Merlot, with a rich dried fruit flavor and sweet tannins. It has an attractive, juicy character on the finish.",,87,27.0,Bordeaux,Côtes de Bourg,,Bordeaux-style Red Blend,Château Grand-Maison
648,Mexico,"Hot and heavy from first whiff, this has plastic and red pepper notes, with a sweet strawberry aroma. It's thick as syrup on the palate, with extracted, fully ripe flavors of blackberry and raisin. Maat means “the land” in a native language; but it could mean syrupy sweet. Hard to believe this is just 13.5% abv.",Maat,83,25.0,Valle de Guadalupe,,,Grenache,Tres Valles
649,US,"This dry, acidic, minerally Chardonnay brings Burgundy to mind. It has a lot going for it, but is rather tight and angular despite a rich vein of pineapple and lemon drop. Distinguished in its way, it's a fine wine, at a great price.",,90,25.0,California,Santa Cruz Mountains,Central Coast,Chardonnay,Sarah's Vineyard
650,France,"Ripe, soft and spicy. This is an attractive, open wine, medium sweet and rich. It has a fine hint of pepper along with honey and tropical fruits. For medium- term aging over the next 3–5 years.",Altenberg de Bergheim Grand Cru,91,45.0,Alsace,Alsace,,Gewürztraminer,Cave de Ribeauvillé
651,France,"One of the nine crus bourgeois exceptionnel, this estate is under the ownership of the Cazes family of Château Lynch-Bages. With the same winemaking team, it's no wonder that Ormes de Pez is up with classed growths in quality. The character of 2003 gives this wine black tarry flavors, but it hasn't spoiled the wine's dry tannins, structure or its long-term potential. Imported by Diageo Chateau & Estates.",,93,35.0,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château les Ormes de Pez
652,US,"Raw and common, with excessively sweet, jammy cherry-berry flavors and a bizarre streak of acidity that tastes like it came from a box.",Nebula,82,24.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Midnight
653,Italy,"A blend of Cabernet Sauvignon, Merlot and Petit Verdot, this delivers soft, concentrated flavors of chocolate fudge, cherry and cinnamon spice. It's an irresistible, opulent wine that promises to impress.",Volpolo,90,40.0,Tuscany,Bolgheri,,Red Blend,Podere Sapaio
654,Italy,"Aromas of blackcurrant, spice, menthol, espresso and a whiff of toasted oak lead the nose. The round, chewy palate doles out blackberry jam, licorice, ground black pepper and coffee alongside firm, fine-grained tannins. Showing the heat of the vintage, it's evolving quickly so enjoy sooner rather than later.",Riserva,88,36.0,Tuscany,Chianti Classico,,Sangiovese,Lornano
655,Italy,"Cantarutti delivers a thickly saturated and concentrated Friulano with almost passito-like aromatic intensity. You'll recognize tones of apricot, honey and candied fruit and the wine tastes dense but soft in the mouth. It's a dry wine with a touch of sweetness, however, that would pair with white meat, cod or mackerel.",,88,16.0,Northeastern Italy,Colli Orientali del Friuli,,Friulano,Cantarutti
656,US,"A little sweet, which makes the wine less subtle, this Pinot Noir and Chardonnay blend has jammy raspberry, cherry and vanilla smoke flavors. The finish is very sweet.",Brut Rosé,85,40.0,California,North Coast,North Coast,Sparkling Blend,Schramsberg
657,US,"This is almost entirely Syrah, done in a high-acid, citrusy style. Flavors are sharply etched and tight—pomegranate, raspberry, baking chocolate and espresso. Straightforward and well-balanced despite its 15% alcohol.",Dark Star,87,20.0,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Kana
658,New Zealand,"This is pretty solid as far as unoaked Chardonnay goes, with clean mixed fruit flavors of apple, melon and pear providing modest complexity and weight. Finishes crisp, citrusy and refreshing.",EC2 Gimblett Gravels,86,20.0,Hawke's Bay,,,Chardonnay,Hatton Estate
659,US,"Very high alcohol in this superripe wine shows in a hot, chili pepper feeling and in the impression of sweetness. Both combine to give the berry-cherry flavors a rustic quality.",Private Reserve,83,30.0,California,Dry Creek Valley,Sonoma,Zinfandel,Collier Falls
660,Spain,"Likable from the start, with black fruit, baking spice and exotic sandalwood notes, this is firm and drying in feel, with a blend of dark berry, toast and peppery spice flavors. It remains dry on the finish, with a pinch of heat that food should tame.",Sustainably Produced,87,12.0,Northern Spain,Rioja,,Tempranillo,Marqués de Terán
661,US,"The Birch Creek fruit creates a sweetly fruity, forward Merlot, with warm, ripe cherry candy flavors. Cabernet adds some structure to the midpalate, and depth to the finish.",Birch Creek Vineyards,89,24.0,Washington,Walla Walla Valley (WA),Columbia Valley,Merlot,Mannina Cellars
662,South Africa,"There's a gorgeous toasty character to the red apple skin and almond aromas on the nose, while aggressive citrus and ripe apple flesh flavors take hold of the medium-weight mouth. The moderate acidity cuts through the generous palate, while a serious spicy aftertaste remains through the finish.",,89,24.0,Stellenbosch,,,Chenin Blanc,Post House
663,Argentina,"Potent smelling, with black pepper, lots of oak and true berry fruit aromas. The palate is a bit pointed and high in acidity, while the flavors of raspberry, currants and red plum are solid. Finishes a little jagged and acidic, but at worst that staunch acidity will keep it alive for years to come. Hold until at least 2011.",Viña Fausto Orellana de Escobar Single Vineyard,89,50.0,Mendoza Province,La Consulta,,Malbec,Trapiche
664,US,"This is rich in citrus and tropical fruits, with bright acidity that really cleans the palate. It seems to tread the line between dry and off-dry, and it shows real elegance.",,86,22.0,California,Rutherford,Napa,Sauvignon Blanc,Provenance Vineyards
665,Italy,"From the family firm that resurrected native grape Greco, this structured, elegant wine offers rich peach, apple and citrus flavors accented with intense mineral, spice and aromatic herbs. Crisp acidity beautifully balances the rich flavors. Drink 2017–2022.",Novaserra,92,25.0,Southern Italy,Greco di Tufo,,Greco,Mastroberardino
666,France,"Produced from a Brotte-owned property, this Châteauneuf is a deliberate counterpoint to the Père Anselme bottling. It sees some new oak, giving it a slightly toasty character to go with dried cherries, prune and baking spices. Firm on the finish; try after 2008.",Domaine Barville,87,40.0,Rhône Valley,Châteauneuf-du-Pape,,Rhône-style Red Blend,Brotte
667,South Africa,"Thelema's trademark mintiness is a star here, as are the rich, savory flavors of black currant, coffee and spice on the palate. Poised but giving, the wine has an ageable quality and will be delicious with roast lamb or beef.",,89,41.0,Stellenbosch,,,Cabernet Sauvignon,Thelema
